"siteyear","temp.mu","temp.logsigma","temp.logmax"
"DLW 2014",5.85526537698413,7.74900170068027,9.31897271825397
"DLW 2015",4.89986011904762,5.87408758503401,6.8618869047619
"DLW 2016",4.47509970238095,6.04581887755102,6.72088392857143
"DLW 2017",6.02228273809524,7.55602168367347,7.94476736111111
"DLW 2018",3.18134424603175,6.88405590986395,9.16065327380952
"DLW 2019",4.19153869047619,6.70766921768707,8.42149255952381
"DLW 2020",4.93100148809524,7.27991113945578,8.5187628968254
"DLW 2021",3.84300744047619,5.8020093537415,5.92120337301587
"DNC 2014",5.46993204365079,7.50268920068027,9.05025694444444
"DNC 2015",4.58124404761905,5.64396598639456,6.63366021825397
"DNC 2016",4.74218700396825,6.64123745748299,7.59361954365079
"DNC 2017",6.08930555555556,7.74361011904762,8.29939781746032
"DNC 2018",3.23049950396825,6.93816517857143,8.95335615079365
"DNC 2019",4.34865674603175,6.67222448979592,8.11975099206349
"DNC 2020",4.53884573412698,6.92631356292517,8.29156001984127
"DNC 2021",4.50351934523809,6.12376743197279,6.07310813492064
"DNM 2014",5.88239384920635,7.85944961734694,9.39238740079365
"DNM 2015",5.24452728174603,6.3988762755102,7.34767559523809
"DNM 2016",5.24877876984127,7.22879421768708,8.16328670634921
"DNM 2017",6.10674255952381,7.7490531462585,8.43687301587302
"DNM 2018",3.76145734126984,7.43078741496599,9.45702579365079
"DNM 2019",4.79015178571429,7.04399638605442,8.44964632936508
"DNM 2020",4.74868253968254,6.84609268707483,7.99441865079365
"DNM 2021",4.57370287698413,6.26505739795918,6.15545783730159
"DNS 2015",4.38163194444444,5.31711670918367,6.27026240079365
"DNS 2016",4.21222123015873,5.99147087585034,6.76744345238095
"DNS 2017",5.36619990079365,6.86647406462585,7.21487896825397
"DNS 2018",2.77917757936508,6.27102912414966,8.27878571428571
"DNS 2019",4.13727728174603,6.50072236394558,7.96671676587302
"DNS 2020",3.85571478174603,6.18883715986395,7.38689930555556
"DNS 2021",3.77167261904762,5.43119366496599,5.3650625
"DOR 2014",7.8110873015873,9.11495982142857,10.1148799603175
"DOR 2015",6.88255009920635,7.63400956632653,8.34422172619048
"DOR 2016",6.57743501984127,7.85302423469388,8.55371180555556
"DOR 2017",7.47201091269841,9.05696301020408,9.60282738095238
"DOR 2018",4.88611954365079,7.77012585034014,10.0497013888889
"DOR 2019",6.46532490079365,8.17377402210884,9.63655456349206
"DOR 2020",6.46965674603175,8.20325340136054,8.8466001984127
"DOW 2017",7.66113740079365,9.18015369897959,9.50762351190476
"DOW 2018",4.26791220238095,7.70914009353741,10.2247837301587
"DOW 2019",5.87141666666667,8.07862882653061,9.32294642857143
"DOW 2020",6.45191418650794,8.3082906037415,9.25111755952381
"DOW 2021",5.90141121031746,7.33893048469388,7.4424816468254
"DUN 2014",7.07971974206349,8.61190943877551,10.1475466269841
"DUN 2015",6.09208928571429,7.1440737670068,8.04736904761905
"DUN 2017",7.17566468253968,8.58366092687075,9.20794890873016
"DUN 2018",3.79006498015873,7.29948958333333,9.6638814484127
"DUN 2019",5.70837053571429,7.64929230442177,8.78346279761905
"DUN 2020",6.25962400793651,8.01051743197279,9.00812103174603
"DUN 2021",5.50984523809524,6.70225637755102,6.35132638888889
"EDI 2015",7.01013293650794,8.08613775510204,8.9634871031746
"EDI 2016",6.46424652777778,7.83321704931973,8.56078819444445
"EDI 2017",8.33165674603175,9.51176147959184,9.92047321428571
"EDI 2018",5.1269126984127,8.13515476190476,10.8495634920635
"EDI 2019",6.17832242063492,7.96514158163265,8.81693650793651
"EDI 2020",7.56480704365079,8.98310756802721,9.7250441468254
"EDI 2021",6.82955902777778,7.73331143707483,7.70131448412698
"FOF 2014",7.3337996031746,8.87455612244898,10.1605446428571
"FOF 2015",7.09655555555556,8.08938265306123,8.91177579365079
"FOF 2016",6.55990376984127,8.00206526360544,8.7316810515873
"FOF 2017",8.17305952380952,9.35159396258503,9.60563640873016
"FOF 2018",4.72317410714286,7.69328826530612,10.2968893849206
"FOF 2019",6.44583432539683,8.34235182823129,9.32063839285714
"FOF 2020",6.83984722222222,8.47740072278912,9.16621527777778
"FOF 2021",6.6758318452381,7.74601488095238,7.71754662698413
"FOU 2014",7.83248561507937,9.11047045068027,10.2108829365079
"FOU 2015",6.71278521825397,7.52344090136054,8.34155853174603
"FOU 2016",6.56498263888889,7.80779294217687,8.48690426587302
"FOU 2017",7.42618055555556,8.98249128401361,9.68154811507936
"FOU 2018",5.02902628968254,7.9496755952381,10.329998015873
"FOU 2019",6.42952976190476,8.30036904761905,9.92901140873016
"FOU 2020",6.68712549603175,8.51643069727891,9.36705158730159
"FSH 2014",6.56705803571429,8.49490284863946,10.0582767857143
"FSH 2015",5.67168154761905,6.65469834183673,7.62279613095238
"FSH 2016",4.97248313492064,6.61225616496599,7.47135367063492
"FSH 2017",6.26434424603175,7.9263112244898,8.52649107142857
"FSH 2018",4.11417311507936,7.71871067176871,10.0637911706349
"FSH 2019",5.02923908730159,7.4399268707483,9.3926994047619
"FSH 2020",5.41891220238095,7.49951615646258,8.50535367063492
"FSH 2021",4.49924255952381,6.28254039115646,6.22055753968254
"GLF 2014",7.34307490079365,9.03249319727891,10.5304657738095
"GLF 2015",6.6095744047619,7.64467984693878,8.45466865079365
"GLF 2016",5.95862648809524,7.57083524659864,8.3249126984127
"GLF 2017",7.75184722222222,8.94612457482993,9.32809325396825
"GLF 2018",4.25452529761905,7.77085926870748,10.2418546626984
"GLF 2019",6.1575689484127,8.26025297619048,9.37163988095238
"GLF 2020",6.61155853174603,8.45244260204082,9.34715625
"GLF 2021",6.34282589285714,7.62564987244898,7.4361994047619
"HWP 2017",6.73009771825397,8.34261862244898,8.86653670634921
"HWP 2018",4.17250793650794,7.82859375,10.1427058531746
"HWP 2019",4.55469196428571,7.19617835884354,9.33019047619048
"HWP 2020",5.50293353174603,7.85514392006803,9.24530456349206
"HWP 2021",5.01971180555556,6.92876339285714,6.96165823412698
"INS 2014",6.80592162698413,8.6024368622449,10.1258735119048
"INS 2015",5.82070238095238,6.6931143707483,7.51343849206349
"INS 2016",5.24981795634921,6.82413754251701,7.54603174603175
"INS 2017",6.58002281746032,8.2162799744898,8.7276314484127
"INS 2018",3.93920238095238,7.58042644557823,9.95870932539682
"INS 2019",5.43202430555556,7.83516602891156,9.69514186507936
"INS 2020",5.60837698412698,7.87302912414966,9.09797668650794
"INS 2021",4.92999007936508,6.72915093537415,6.57061805555556
"IVN 2015",7.16374503968254,7.83599596088435,8.645875
"KCK 2014",6.97766815476191,8.72590773809524,10.306808531746
"KCK 2015",6.03419593253968,6.99384204931973,7.90684920634921
"KCK 2016",5.58064930555556,7.47244961734694,8.63497668650794
"KCK 2017",7.27227380952381,8.76311607142857,9.40860466269841
"KCK 2018",4.1944191468254,7.69114392006803,9.91185962301587
"KCK 2019",5.66480109126984,7.75516028911565,9.30225793650794
"KCK 2020",5.81554017857143,7.70901466836735,8.9114568452381
"KCK 2021",5.94040972222222,7.4808112244898,7.5639568452381
"KCZ 2015",6.00406150793651,7.1081237244898,8.07404513888889
"KCZ 2016",5.57470783730159,7.51279889455782,8.6577251984127
"KCZ 2017",7.02601599206349,8.53788744897959,9.30883742063492
"KCZ 2018",4.26659424603175,7.87919770408163,10.1486741071429
"KCZ 2019",5.76807986111111,7.97225510204082,9.51537946428572
"KCZ 2020",6.01943154761905,8.04178486394558,9.25545535714286
