site,year,date,datescaled,siteyear,siteday,treeID,recorder,caterpillars,temp_m.cent,temp_ls.cent,temp_lm.cent,resid
LVN,2014,126,-1.554754197,LVN 2014,LVN 126 2014,LVN 5,ABP,0,1.646716211,1.255042377,1.421811604,132
MCH,2014,126,-1.554754197,MCH 2014,MCH 126 2014,MCH 3,ABP,0,2.462428017,1.869197777,1.985667754,133
STY,2014,126,-1.554754197,STY 2014,STY 126 2014,STY 2,ICZ,0,1.872714227,1.687729877,2.183838885,134
ALN,2014,127,-1.483771557,ALN 2014,ALN 127 2014,ALN 5,JDS,0,1.704780199,1.118110404,1.135086901,135
ALN,2014,127,-1.483771557,ALN 2014,ALN 127 2014,ALN 6,JDS,0,1.704780199,1.118110404,1.135086901,136
AVI,2014,127,-1.483771557,AVI 2014,AVI 127 2014,AVI 5,ERI,0,0.788794584,0.553026433,0.938971326,137
BIR,2014,127,-1.483771557,BIR 2014,BIR 127 2014,BIR 1,JDS,0,1.074345676,0.838789826,1.286855254,138
BLA,2014,127,-1.483771557,BLA 2014,BLA 127 2014,BLA 2,ERI,0,0.629639822,0.723221586,1.229954957,139
BLA,2014,127,-1.483771557,BLA 2014,BLA 127 2014,BLA 5,JDS,0,0.629639822,0.723221586,1.229954957,140
BLG,2014,127,-1.483771557,BLG 2014,BLG 127 2014,BLG 6,JDS,0,1.704894287,1.333647607,1.693670235,141
DNC,2014,127,-1.483771557,DNC 2014,DNC 127 2014,DNC 1,JDS,0,-0.356315039,-0.311735897,0.132741663,142
DNC,2014,127,-1.483771557,DNC 2014,DNC 127 2014,DNC 6,ERI,0,-0.356315039,-0.311735897,0.132741663,143
DNM,2014,127,-1.483771557,DNM 2014,DNM 127 2014,DNM 1,ERI,0,0.056146767,0.04502452,0.47487212,144
DNM,2014,127,-1.483771557,DNM 2014,DNM 127 2014,DNM 2,ERI,0,0.056146767,0.04502452,0.47487212,145
DNM,2014,127,-1.483771557,DNM 2014,DNM 127 2014,DNM 5,JDS,0,0.056146767,0.04502452,0.47487212,146
MUN,2014,127,-1.483771557,MUN 2014,MUN 127 2014,MUN 2,JDS,0,1.556335259,1.05614208,1.139247616,147
MUN,2014,127,-1.483771557,MUN 2014,MUN 127 2014,MUN 4,ERI,0,1.556335259,1.05614208,1.139247616,148
NEW,2014,127,-1.483771557,NEW 2014,NEW 127 2014,NEW 5,JDS,0,0.75034766,0.541354027,0.899491167,149
NEW,2014,127,-1.483771557,NEW 2014,NEW 127 2014,NEW 2,ERI,0,0.75034766,0.541354027,0.899491167,150
NEW,2014,127,-1.483771557,NEW 2014,NEW 127 2014,NEW 4,JDS,0,0.75034766,0.541354027,0.899491167,151
PTH,2014,127,-1.483771557,PTH 2014,PTH 127 2014,PTH 3,ERI,0,2.378797064,2.020973075,2.431389481,152
PTH,2014,127,-1.483771557,PTH 2014,PTH 127 2014,PTH 1,ERI,0,2.378797064,2.020973075,2.431389481,153
TAI,2014,127,-1.483771557,TAI 2014,TAI 127 2014,TAI 2,ERI,0,1.924531687,1.034687148,0.864537794,154
TAI,2014,127,-1.483771557,TAI 2014,TAI 127 2014,TAI 5,JDS,0,1.924531687,1.034687148,0.864537794,155
TOM,2014,127,-1.483771557,TOM 2014,TOM 127 2014,TOM 1,JDS,0,0.615702818,0.285267505,0.495724798,156
BAD,2014,128,-1.412788917,BAD 2014,BAD 128 2014,BAD 1,ABP,0,1.010393295,0.834143143,1.193222814,157
BAD,2014,128,-1.412788917,BAD 2014,BAD 128 2014,BAD 5,ABP,0,1.010393295,0.834143143,1.193222814,158
BAD,2014,128,-1.412788917,BAD 2014,BAD 128 2014,BAD 6,ABP,0,1.010393295,0.834143143,1.193222814,159
CAL,2014,128,-1.412788917,CAL 2014,CAL 128 2014,CAL 3,JDS,0,0.683556985,0.949228814,1.88394206,160
CAL,2014,128,-1.412788917,CAL 2014,CAL 128 2014,CAL 6,ERI,0,0.683556985,0.949228814,1.88394206,161
CAR,2014,128,-1.412788917,CAR 2014,CAR 128 2014,CAR 1,JDS,0,0.788289624,0.400506025,0.620249104,162
CAR,2014,128,-1.412788917,CAR 2014,CAR 128 2014,CAR 4,ERI,0,0.788289624,0.400506025,0.620249104,163
CAR,2014,128,-1.412788917,CAR 2014,CAR 128 2014,CAR 6,ERI,0,0.788289624,0.400506025,0.620249104,164
CRU,2014,128,-1.412788917,CRU 2014,CRU 128 2014,CRU 2,JDS,0,0.23725887,0.20521861,0.737804659,165
CRU,2014,128,-1.412788917,CRU 2014,CRU 128 2014,CRU 3,JDS,0,0.23725887,0.20521861,0.737804659,166
DAV,2014,128,-1.412788917,DAV 2014,DAV 128 2014,DAV 1,ERI,0,1.088387342,0.626838933,0.703823508,167
